Step(s),Voltage(V),Current_inv(A),SOC_true(%)
273,3.3898,-60.001,99.5049
274,3.3897,-60.001,99.5044
275,3.3896,-60.001,99.5039
276,3.3896,-60.0009,99.5034
277,3.3894,-60.0009,99.5029
278,3.3894,-60.0009,99.5024
279,3.3893,-60.0009,99.5019
280,3.3892,-60.0009,99.5014
281,3.3891,-60.0008,99.5009
282,3.389,-60.0009,99.5004
283,3.389,-60.0011,99.4999
284,3.3889,-60.0011,99.4994
285,3.3888,-60.0008,99.4989
286,3.3887,-60.0008,99.4984
287,3.3886,-60.0009,99.4979
288,3.3885,-60.0009,99.4974
289,3.3885,-60.0009,99.4969
290,3.3884,-60.0009,99.4964
291,3.3883,-60.0009,99.4959
292,3.3882,-60.0009,99.4954
293,3.3881,-60.0008,99.4949
294,3.3881,-60.0009,99.4944
295,3.388,-60.0009,99.4939
296,3.3879,-60.0007,99.4934
297,3.3878,-60.0007,99.4929
298,3.3878,-60.0009,99.4924
299,3.3877,-60.0009,99.4919
300,3.3876,-60.0009,99.4914
301,3.3987,-299.85,99.4889
302,3.3255,-299.977,99.4864
303,3.3228,-300.0251,99.4839
304,3.3209,-300.0433,99.4814
305,3.3193,-300.0545,99.479
306,3.3178,-300.0614,99.4765
307,3.3166,-300.0663,99.474
308,3.3154,-300.0691,99.4715
309,3.3144,-300.0712,99.469
310,3.3134,-300.073,99.4665
311,3.3125,-300.0735,99.464
312,3.3117,-300.0735,99.4615
313,3.3108,-300.0742,99.459
314,3.31,-300.075,99.4565
315,3.3093,-300.0757,99.454
316,3.3086,-300.0758,99.4515
317,3.3079,-300.0758,99.449
318,3.3072,-300.0758,99.4465
319,3.3066,-300.0757,99.444
320,3.3059,-300.0758,99.4416
321,3.3053,-300.0758,99.4391
322,3.3047,-300.0759,99.4366
323,3.3041,-300.0763,99.4341
324,3.3035,-300.0758,99.4316
325,3.303,-300.0757,99.4291
326,3.3025,-300.076,99.4266
327,3.3019,-300.0761,99.4241
328,3.3014,-300.0759,99.4216
329,3.3009,-300.0759,99.4191
330,3.3004,-300.0763,99.4166
331,3.2999,-300.0758,99.4141
332,3.2994,-300.0759,99.4116
333,3.299,-300.0759,99.4091
334,3.2985,-300.0761,99.4066
335,3.298,-300.0764,99.4041
336,3.2976,-300.076,99.4017
337,3.2971,-300.0759,99.3992
338,3.2967,-300.0761,99.3967
339,3.2963,-300.0758,99.3942
340,3.2958,-300.0757,99.3917
341,3.2954,-300.0758,99.3892
342,3.295,-300.0764,99.3867
343,3.2946,-300.0758,99.3842
344,3.2942,-300.0768,99.3817
345,3.2938,-300.0768,99.3792
346,3.2934,-300.0766,99.3767
347,3.293,-300.0765,99.3742
348,3.2926,-300.0769,99.3717
349,3.2922,-300.0766,99.3692
350,3.2918,-300.076,99.3667
351,3.2915,-300.0755,99.3642
352,3.3605,0,99.3642
353,3.3888,0,99.3642
354,3.3927,0,99.3642
355,3.3948,0,99.3642
356,3.3961,0,99.3642
357,3.397,0,99.3642
358,3.3977,0,99.3642
359,3.3983,0,99.3642
360,3.3987,0,99.3642
361,3.399,0,99.3642
362,3.3992,0,99.3642
363,3.3994,0,99.3642
364,3.3996,0,99.3642
365,3.3997,0,99.3642
366,3.3998,0,99.3642
367,3.3999,0,99.3642
368,3.4,0,99.3642
369,3.4,0,99.3642
370,3.4001,0,99.3642
371,3.4001,0,99.3642
372,3.4001,0,99.3642
373,3.4001,0,99.3642
374,3.4001,0,99.3642
375,3.4002,0,99.3642
376,3.4002,0,99.3642
377,3.4002,0,99.3642
378,3.4002,0,99.3642
379,3.4002,0,99.3642
380,3.4001,0,99.3642
381,3.4001,0,99.3642
382,3.4001,0,99.3642
383,3.4002,0,99.3642
384,3.4001,0,99.3642
385,3.4001,0,99.3642
386,3.4001,0,99.3642
387,3.4001,0,99.3642
388,3.4,0,99.3642
389,3.4,0,99.3642
390,3.4,0,99.3642
391,3.4,0,99.3642
392,3.4,0,99.3642
393,3.3999,0,99.3642
394,3.3999,0,99.3642
395,3.3999,0,99.3642
396,3.3999,0,99.3642
397,3.3999,0,99.3642
398,3.3998,0,99.3642
399,3.3998,0,99.3642
400,3.3998,0,99.3642
401,3.3998,0,99.3642
402,3.3997,0,99.3642
403,3.3997,0,99.3642
404,3.3997,0,99.3642
405,3.3996,0,99.3642
406,3.3996,0,99.3642
407,3.3996,0,99.3642
408,3.3995,0,99.3642
409,3.3995,0,99.3642
410,3.3995,0,99.3642
411,3.3995,0,99.3642
412,3.3994,0,99.3642
413,3.3994,0,99.3642
414,3.3994,0,99.3642
415,3.3993,0,99.3642
416,3.3993,0,99.3642
417,3.3993,0,99.3642
418,3.3993,0,99.3642
419,3.3993,0,99.3642
420,3.3992,0,99.3642
421,3.3992,0,99.3642
422,3.3991,0,99.3642
423,3.3991,0,99.3642
424,3.3991,0,99.3642
425,3.3991,0,99.3642
426,3.399,0,99.3642
427,3.399,0,99.3642
428,3.399,0,99.3642
429,3.3989,0,99.3642
430,3.3989,0,99.3642
431,3.3989,0,99.3642
432,3.3989,0,99.3642
433,3.3988,0,99.3642
434,3.3988,0,99.3642
435,3.3987,0,99.3642
436,3.3987,0,99.3642
437,3.3987,0,99.3642
438,3.3987,0,99.3642
439,3.3986,0,99.3642
440,3.3986,0,99.3642
441,3.3986,0,99.3642
442,3.3986,0,99.3642
443,3.3985,0,99.3642
444,3.3985,0,99.3642
445,3.3985,0,99.3642
446,3.3984,0,99.3642
447,3.3984,0,99.3642
448,3.3984,0,99.3642
449,3.3983,0,99.3642
450,3.3983,0,99.3642
451,3.3982,0,99.3642
452,3.3982,0,99.3642
453,3.3982,0,99.3642
454,3.3982,0,99.3642
455,3.3982,0,99.3642
456,3.3982,0,99.3642
457,3.3981,0,99.3642
458,3.3981,0,99.3642
459,3.3981,0,99.3642
460,3.398,0,99.3642
461,3.398,0,99.3642
462,3.398,0,99.3642
463,3.3979,0,99.3642
464,3.3979,0,99.3642
465,3.3979,0,99.3642
466,3.3978,0,99.3642
467,3.3978,0,99.3642
468,3.3978,0,99.3642
469,3.3978,0,99.3642
470,3.3977,0,99.3642
471,3.3977,0,99.3642
472,3.3977,0,99.3642
473,3.3977,0,99.3642
474,3.3976,0,99.3642
475,3.3976,0,99.3642
476,3.3976,0,99.3642
477,3.3976,0,99.3642
478,3.3975,0,99.3642
479,3.3975,0,99.3642
480,3.3975,0,99.3642
481,3.3975,0,99.3642
482,3.3974,0,99.3642
483,3.3974,0,99.3642
484,3.3974,0,99.3642
485,3.3973,0,99.3642
486,3.3973,0,99.3642
487,3.3973,0,99.3642
488,3.3973,0,99.3642
